Modelo,total,p_rviol,p_quality
DeepSeek R1 Distill Llama 70B,9500,0.30073684210526314,0.9433684210526316
DeepSeek R1 Distill Llama 8B,9500,0.3214736842105263,0.5970526315789474
GPT-4o Mini,9500,0.16031578947368422,0.9794736842105263
GPT-OSS 120B,9500,0.36578947368421055,0.9890526315789474
GPT-OSS 20B,9500,0.3596842105263158,0.97
Gemma 27B,9500,0.3331578947368421,0.9838947368421053
Gemma 4B,9500,0.314,0.9870526315789474
LLaMA 70B,9500,0.3688421052631579,0.9576842105263158
LLaMA 8B,9500,0.38,0.8996842105263158
Mistral 24B,9500,0.27157894736842103,0.8295789473684211
Mistral 7B,9500,0.28157894736842104,0.40568421052631576
Qwen 32B,9500,0.33778947368421053,0.9745263157894737
Qwen 4B,9500,0.33642105263157895,0.9667368421052631
